Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
    3720 vmware-tray.ex       0x0000000000ec0000 True   False  True  \Users\Rick\AppData\Local\Temp\RarSFX0\vmware-tray.exe
    3720 vmware-tray.ex       0x0000000000d90000 False  False  False \Windows\Microsoft.NET\Framework\v4.0.30319\mscorrc.dll
    3720 vmware-tray.ex       0x0000000075d30000 True   True   True  \Windows\SysWOW64\KernelBase.dll
    3720 vmware-tray.ex       0x0000000073f60000 True   True   True  \Windows\SysWOW64\bcrypt.dll
    3720 vmware-tray.ex       0x0000000074f60000 True   True   True  \Windows\SysWOW64\mscoree.dll
    3720 vmware-tray.ex       0x0000000071990000 True   True   True  \Windows\SysWOW64\WindowsCodecs.dll
    3720 vmware-tray.ex       0x00000000751b0000 True   True   True  \Windows\System32\wow64win.dll
    3720 vmware-tray.ex       0x0000000075de0000 True   True   True  \Windows\SysWOW64\sechost.dll
    3720 vmware-tray.ex       0x0000000073fe0000 True   True   True  \Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll
    3720 vmware-tray.ex       0x00000000776f0000 True   True   True  \Windows\System32\ntdll.dll
    3720 vmware-tray.ex       0x00000000659f0000 True   True   True  \Windows\assembly\NativeImages_v4.0.30319_32\System.Windows.Forms\17e020ae92d7fab33bcc1c98b25019d0\System.Windows.Forms.ni.dll
    3720 vmware-tray.ex       0x0000000066800000 True   True   True  \Windows\assembly\NativeImages_v4.0.30319_32\System\964da027ebca3b263a05cadb8eaa20a3\System.ni.dll
    3720 vmware-tray.ex       0x0000000075210000 True   True   True  \Windows\System32\wow64.dll
    3720 vmware-tray.ex       0x0000000074120000 True   True   True  \Windows\SysWOW64\uxtheme.dll
    3720 vmware-tray.ex       0x0000000075420000 True   True   True  \Windows\SysWOW64\cryptbase.dll
    3720 vmware-tray.ex       0x0000000068860000 True   True   True  \Windows\Microsoft.NET\Framework\v4.0.30319\nlssorting.dll
    3720 vmware-tray.ex       0x0000000076e70000 True   True   True  \Windows\SysWOW64\gdi32.dll
    3720 vmware-tray.ex       0x0000000069720000 True   True   True  \Windows\SysWOW64\msvcr100_clr0400.dll
    3720 vmware-tray.ex       0x00000000670a0000 True   True   True  \Windows\assembly\NativeImages_v4.0.30319_32\mscorlib\246f1a5abb686b9dcdf22d3505b08cea\mscorlib.ni.dll
    3720 vmware-tray.ex       0x00000000740c0000 True   True   True  \Windows\SysWOW64\rsaenh.dll
    3720 vmware-tray.ex       0x0000000075ad0000 True   True   True  \Windows\SysWOW64\usp10.dll
    3720 vmware-tray.ex       0x00000000772f0000 True   True   True  \Windows\SysWOW64\kernel32.dll
    3720 vmware-tray.ex       0x0000000074100000 True   True   True  \Windows\SysWOW64\cryptsp.dll
    3720 vmware-tray.ex       0x0000000075430000 True   True   True  \Windows\SysWOW64\sspicli.dll
    3720 vmware-tray.ex       0x0000000077400000 True   True   True  \Windows\SysWOW64\msctf.dll
    3720 vmware-tray.ex       0x0000000076160000 True   True   True  \Windows\SysWOW64\msvcrt.dll
    3720 vmware-tray.ex       0x0000000075d80000 True   True   True  \Windows\SysWOW64\imm32.dll
    3720 vmware-tray.ex       0x0000000073c70000 True   True   True  \Windows\SysWOW64\dwmapi.dll
    3720 vmware-tray.ex       0x00000000741a0000 True   True   True  \Windows\SysWOW64\profapi.dll
    3720 vmware-tray.ex       0x00000000757d0000 True   True   True  \Windows\SysWOW64\lpk.dll
    3720 vmware-tray.ex       0x00000000755e0000 True   True   True  \Windows\SysWOW64\advapi32.dll
    3720 vmware-tray.ex       0x0000000074870000 True   True   True  \Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80\GdiPlus.dll
    3720 vmware-tray.ex       0x0000000074a00000 True   True   True  \Windows\Microsoft.NET\Framework\v4.0.30319\mscoreei.dll
    3720 vmware-tray.ex       0x0000000075000000 True   True   True  \Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll
    3720 vmware-tray.ex       0x0000000068010000 True   True   True  \Windows\Microsoft.NET\Framework\v4.0.30319\clrjit.dll
    3720 vmware-tray.ex       0x0000000065330000 True   True   True  \Windows\assembly\NativeImages_v4.0.30319_32\System.Core\713647b987b140a17e3c4ffe4c721f85\System.Core.ni.dll
    3720 vmware-tray.ex       0x0000000076220000 True   True   True  \Windows\SysWOW64\shell32.dll
    3720 vmware-tray.ex       0x00000000751a0000 True   True   True  \Windows\System32\wow64cpu.dll
    3720 vmware-tray.ex       0x0000000066660000 True   True   True  \Windows\assembly\NativeImages_v4.0.30319_32\System.Drawing\dd57bc19f5807c6dbe8f88d4a23277f6\System.Drawing.ni.dll
    3720 vmware-tray.ex       0x0000000068070000 True   True   True  \Windows\Microsoft.NET\Framework\v4.0.30319\clr.dll
    3720 vmware-tray.ex       0x0000000076000000 True   True   True  \Windows\SysWOW64\ole32.dll
    3720 vmware-tray.ex       0x00000000754b0000 True   True   True  \Windows\SysWOW64\rpcrt4.dll
    3720 vmware-tray.ex       0x00000000778d0000 True   True   True  \Windows\SysWOW64\ntdll.dll
    3720 vmware-tray.ex       0x0000000077200000 True   True   True  \Windows\SysWOW64\shlwapi.dll
    3720 vmware-tray.ex       0x0000000076f00000 True   True   True  \Windows\SysWOW64\user32.dll
